KGS_ID,Latitude,Longitude,Location,Operator,Lease,API,API_NUM_NODASH,Elevation,Elev_Ref,Depth_start,Depth_stop,URL,url_year,key
1028187622,39.9834396,-97.1993748,"T1S R2E, Sec. 10,   NW SW NW",KANSAS GEOLOGICAL SURVEY,W. GAYDUSEK II 1,,,1599.0, KB,50.5,525.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/01S02E/1020069094.las,,1028187622|nan
1044172351,39.943543,-95.9362942,"T1S R13E, Sec. 23,  W2 SE SW SW",Kinney Oil Company,Baumgartner 1-23 1,15-131-20234,15131202340000.0,1215.0, KB,1814.2,2096.2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1044966705.las,2015.0,1044172351|15131202340000.0
1044022696,39.9922049,-95.7990789,"T1S R14E, Sec. 1,  SW NE NE SW",Wolf Operating LLC,Stalder-Adams 1-1,15-131-20225,15131202250000.0,1130.0, KB,185.2,3663.2,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044839433.las,2014.0,1044022696|15131202250000.0
1045045609,39.9965135,-95.8011336,"T1S R14E, Sec. 1,  NW NW SE NW",Black Star 231 Corp.,Snyder 1-15,15-131-20239,15131202390000.0,1121.0, KB,194.0,3626.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2017/1046531020.las,2017.0,1045045609|15131202390000.0
1046218592,39.9948542,-95.8020302,"T1S R14E, Sec. 1,  W2 SW SE NW",Black Star 231 Corp.,SNYDER 5-17,15-131-20244,15131202440000.0,1114.0, KB,161.4,3632.9,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2019/1047174942.las,2019.0,1046218592|15131202440000.0
1044248732,39.9852865,-95.8326539,"T1S R14E, Sec. 10,  SW NE NW NE",Kinney Oil Company,Plattner 1-10 1,15-131-20235,15131202350000.0,1212.0, KB,200.0,3844.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1045086571.las,2015.0,1044248732|15131202350000.0
1002934584,39.9604344,-95.8200108,"T1S R14E, Sec. 14,  NW NW SE SW",ROXY RESOURCES,SCHNEIDER 1-14,15-131-20046,15131200460000.0,1204.0, KB,230.0,3945.0,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/01S14E/1044219060.las,,1002934584|15131200460000.0
1043239054,39.9585958,-95.8891193,"T1S R14E, Sec. 18,  NW SE SW SE",Kinney Oil Company,Meyer 1-18,15-131-20217,15131202170000.0,1349.0, KB,245.0,4082.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044249719.las,2013.0,1043239054|15131202170000.0
1043624968,39.9347755,-95.8303409,"T1S R14E, Sec. 27,   N2 N2 SE",Kinney Oil Company,Strahm 2-27,15-131-20222,15131202220000.0,1326.0, KB,3677.5,3968.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044753578.las,2014.0,1043624968|15131202220000.0
1043564848,39.9167311,-95.8442849,"T1S R14E, Sec. 34,  NW NW SW SW",Kinney Oil Company,Hartter 1-34,15-131-20220,15131202200000.0,1340.0, KB,181.5,4003.5,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044753566.las,2014.0,1043564848|15131202200000.0
